id,title,format,updated_at,web_url,slug,abbreviation,govuk_status,content_id,analytics_identifier,first_parent_id,first_parent_url,num_parents,num_children,num_superseded,num_superseding,oscar_match,oscar_match_score,oscar_budget_£k,non_govuk_domain,best_domain
https://www.gov.uk/api/organisations/uk-sport,UK Sport,Executive non-departmental public body,2023-02-14 09:58:51+00:00,https://www.gov.uk/government/organisations/uk-sport,uk-sport,UKSP,exempt,6a2e54ca-60b3-4436-b546-7430fbafbb23,PB185,https://www.gov.uk/api/organisations/department-for-culture-media-and-sport,https://www.gov.uk/government/organisations/department-for-culture-media-and-sport,1,1,0,0,False,,,http://www.uksport.gov.uk/,http://www.uksport.gov.uk/
https://www.gov.uk/api/organisations/uk-statistics-authority,UK Statistics Authority,Non-ministerial department,2021-04-15 08:59:32+00:00,https://www.gov.uk/government/organisations/uk-statistics-authority,uk-statistics-authority,Statistics,exempt,cd90918d-e15b-4d9a-939d-deabc465c824,D116,https://www.gov.uk/api/organisations/cabinet-office,https://www.gov.uk/government/organisations/cabinet-office,1,1,0,0,False,,,http://www.statisticsauthority.gov.uk/,http://www.statisticsauthority.gov.uk/
https://www.gov.uk/api/organisations/uk-visas-and-immigration,UK Visas and Immigration,Sub organisation,2025-04-03 14:53:02+00:00,https://www.gov.uk/government/organisations/uk-visas-and-immigration,uk-visas-and-immigration,UKVI,live,04148522-b0c1-4137-b687-5f3c3bdd561a,OT554,https://www.gov.uk/api/organisations/home-office,https://www.gov.uk/government/organisations/home-office,1,0,1,0,False,,,,https://www.gov.uk/government/organisations/uk-visas-and-immigration
https://www.gov.uk/api/organisations/united-kingdom-national-nuclear-laboratory,United Kingdom National Nuclear Laboratory,Public corporation,2024-12-19 10:34:45+00:00,https://www.gov.uk/government/organisations/united-kingdom-national-nuclear-laboratory,united-kingdom-national-nuclear-laboratory,UKNNL,exempt,78c48d24-7f78-4591-a221-b36c2aa1e151,PC1435,,,0,0,1,0,False,,,https://uknnl.com/,https://uknnl.com/
https://www.gov.uk/api/organisations/united-kingdom-reserve-forces-association,United Kingdom Reserve Forces Association,Sub organisation,2021-04-15 09:03:56+00:00,https://www.gov.uk/government/organisations/united-kingdom-reserve-forces-association,united-kingdom-reserve-forces-association,UKRFA,live,839afa5e-cd59-4f59-8018-7a935e4b4ef1,OT1112,https://www.gov.uk/api/organisations/ministry-of-defence,https://www.gov.uk/government/organisations/ministry-of-defence,1,0,0,0,False,,,,https://www.gov.uk/government/organisations/united-kingdom-reserve-forces-association
https://www.gov.uk/api/organisations/united-kingdom-security-vetting,United Kingdom Security Vetting,Sub organisation,2024-11-22 16:13:49+00:00,https://www.gov.uk/government/organisations/united-kingdom-security-vetting,united-kingdom-security-vetting,UKSV,live,471796ac-7421-4425-9cc6-a27ad81e850a,OT1294,https://www.gov.uk/api/organisations/cabinet-office,https://www.gov.uk/government/organisations/cabinet-office,1,0,0,0,False,,,,https://www.gov.uk/government/organisations/united-kingdom-security-vetting
https://www.gov.uk/api/organisations/upper-tribunal-administrative-appeals-chamber,Upper Tribunal (Administrative Appeals Chamber),Tribunal,2021-04-15 09:04:08+00:00,https://www.gov.uk/government/organisations/upper-tribunal-administrative-appeals-chamber,upper-tribunal-administrative-appeals-chamber,,live,4c2e325a-2d95-442b-856a-e7fb9f9e3cf8,PB1142,https://www.gov.uk/api/organisations/hm-courts-and-tribunals-service,https://www.gov.uk/government/organisations/hm-courts-and-tribunals-service,1,0,0,0,False,,,,https://www.gov.uk/government/organisations/upper-tribunal-administrative-appeals-chamber
https://www.gov.uk/api/organisations/upper-tribunal-immigration-and-asylum-chamber,Upper Tribunal (Immigration and Asylum Chamber),Tribunal,2021-04-15 09:04:08+00:00,https://www.gov.uk/government/organisations/upper-tribunal-immigration-and-asylum-chamber,upper-tribunal-immigration-and-asylum-chamber,,live,db2c5331-e960-4807-9ac7-89f1fceda883,PB1144,https://www.gov.uk/api/organisations/hm-courts-and-tribunals-service,https://www.gov.uk/government/organisations/hm-courts-and-tribunals-service,1,0,0,0,False,,,,https://www.gov.uk/government/organisations/upper-tribunal-immigration-and-asylum-chamber
https://www.gov.uk/api/organisations/upper-tribunal-lands-chamber,Upper Tribunal (Lands Chamber),Tribunal,2021-04-15 09:04:07+00:00,https://www.gov.uk/government/organisations/upper-tribunal-lands-chamber,upper-tribunal-lands-chamber,,live,dded0912-517d-4186-bd3b-a14acfb7d780,PB1141,https://www.gov.uk/api/organisations/hm-courts-and-tribunals-service,https://www.gov.uk/government/organisations/hm-courts-and-tribunals-service,1,0,0,0,False,,,,https://www.gov.uk/government/organisations/upper-tribunal-lands-chamber
https://www.gov.uk/api/organisations/upper-tribunal-tax-and-chancery-chamber,Upper Tribunal (Tax and Chancery Chamber),Tribunal,2021-04-15 09:04:07+00:00,https://www.gov.uk/government/organisations/upper-tribunal-tax-and-chancery-chamber,upper-tribunal-tax-and-chancery-chamber,,live,1a68b2cc-eb52-4528-8989-429f710da00f,PB1140,https://www.gov.uk/api/organisations/hm-courts-and-tribunals-service,https://www.gov.uk/government/organisations/hm-courts-and-tribunals-service,1,0,0,0,False,,,,https://www.gov.uk/government/organisations/upper-tribunal-tax-and-chancery-chamber
https://www.gov.uk/api/organisations/valuation-office-agency,Valuation Office Agency,Executive agency,2025-09-08 10:28:25+00:00,https://www.gov.uk/government/organisations/valuation-office-agency,valuation-office-agency,VOA,live,ae98edb5-87b4-4a69-a31a-e0e5298f949d,EA87,https://www.gov.uk/api/organisations/hm-revenue-customs,https://www.gov.uk/government/organisations/hm-revenue-customs,1,2,0,0,False,,,,https://www.gov.uk/government/organisations/valuation-office-agency
https://www.gov.uk/api/organisations/valuation-tribunal-for-england,Valuation Tribunal for England ,Tribunal,2024-07-16 12:58:40+00:00,https://www.gov.uk/government/organisations/valuation-tribunal-for-england,valuation-tribunal-for-england,VTE,exempt,06fc84b7-f0de-4da4-b8fd-d4547dbab3f9,PB1204,https://www.gov.uk/api/organisations/ministry-of-housing-communities-local-government,https://www.gov.uk/government/organisations/ministry-of-housing-communities-local-government,1,0,0,0,False,,,https://www.valuationtribunal.gov.uk/about-us/vte,https://www.valuationtribunal.gov.uk/about-us/vte
https://www.gov.uk/api/organisations/valuation-tribunal-service-for-england-valuation-tribunal-service,Valuation Tribunal Service,Executive non-departmental public body,2024-07-16 12:57:04+00:00,https://www.gov.uk/government/organisations/valuation-tribunal-service-for-england-valuation-tribunal-service,valuation-tribunal-service-for-england-valuation-tribunal-service,VTS,exempt,7e6ad32c-a97f-48cb-a3aa-b0d134d639fa,PB375,https://www.gov.uk/api/organisations/ministry-of-housing-communities-local-government,https://www.gov.uk/government/organisations/ministry-of-housing-communities-local-government,1,0,0,0,False,,,http://www.valuationtribunal.gov.uk/,http://www.valuationtribunal.gov.uk/
https://www.gov.uk/api/organisations/vehicle-certification-agency,Vehicle Certification Agency,Executive agency,2021-04-15 08:59:25+00:00,https://www.gov.uk/government/organisations/vehicle-certification-agency,vehicle-certification-agency,VCA,exempt,685a3312-e096-4fde-b6c7-c8cf324d4784,EA80,https://www.gov.uk/api/organisations/department-for-transport,https://www.gov.uk/government/organisations/department-for-transport,1,0,0,0,False,,,https://www.vehicle-certification-agency.gov.uk/,https://www.vehicle-certification-agency.gov.uk/
https://www.gov.uk/api/organisations/veterans-advisory-and-pensions-committees-x13,Veterans Advisory and Pensions Committees,Advisory non-departmental public body,2022-04-01 09:42:35+00:00,https://www.gov.uk/government/organisations/veterans-advisory-and-pensions-committees-x13,veterans-advisory-and-pensions-committees-x13,VAPC,live,dfe3c6ad-238b-4330-924a-33000e5b0df0,PB403,https://www.gov.uk/api/organisations/ministry-of-defence,https://www.gov.uk/government/organisations/ministry-of-defence,1,0,0,0,False,,,,https://www.gov.uk/government/organisations/veterans-advisory-and-pensions-committees-x13
